catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,raw_condition,applies_status,predicate_count,normalized_predicates_json,confirmation_questions_json,audit_flags,normalization_confidence,runtime_status,source_page
62,二十四、橡胶和塑料制品业29,塑料制品业292,292,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,12
63,二十五、非金属矿物制品业30,"水泥、石灰和石膏制造301，石膏、水
泥制品及类似制品制造302",301;302,KEY,水泥（熟料）制造,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,12
63,二十五、非金属矿物制品业30,"水泥、石灰和石膏制造301，石膏、水
泥制品及类似制品制造302",301;302,SIMPLIFIED,水泥粉磨站、石灰和石膏制造3012,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3012"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""、石灰和石膏制造3012""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,12
63,二十五、非金属矿物制品业30,"水泥、石灰和石膏制造301，石膏、水
泥制品及类似制品制造302",301;302,REGISTRATION,水泥制品制造 3021，砼结构构件制造 3022，石棉水泥制品制造3023，轻质建 筑材料制造3024，其他水泥类似制品制 造3029,ELSE_CONDITION,6,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3021"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""水泥制品制造3021，砼结构构件制造""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3022"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""，砼结构构件制造3022，石棉水泥制品制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3023"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""石棉水泥制品制造3023，轻质建筑材料制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3024"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""轻质建筑材料制造3024，其他水泥类似制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3029"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""水泥类似制品制造3029""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,12
64,二十五、非金属矿物制品业30,砖瓦、石材等建筑材料制造303,303,KEY,粘土砖瓦及建筑砌块制造3031（以煤 或者煤矸石为燃料的烧结砖瓦）,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3031"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""瓦及建筑砌块制造3031（以煤或者煤矸石""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,12
64,二十五、非金属矿物制品业30,砖瓦、石材等建筑材料制造303,303,SIMPLIFIED,粘土砖瓦及建筑砌块制造3031（除以 煤或者煤矸石为燃料的烧结砖瓦以 外的），建筑用石加工3032，防水建 筑材料制造3033，隔热和隔音材料制 造3034，其他建筑材料制造3039， 以上均不含仅切割加工的,ELSE_CONDITION,6,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3031"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""瓦及建筑砌块制造3031（除以煤或者煤矸""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3032"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""），建筑用石加工3032，防水建筑材料制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3033"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""防水建筑材料制造3033，隔热和隔音材料""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3034"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""热和隔音材料制造3034，其他建筑材料制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3039"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""其他建筑材料制造3039，以上均不含仅切""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,12
64,二十五、非金属矿物制品业30,砖瓦、石材等建筑材料制造303,303,REGISTRATION,仅切割加工的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,12
65,二十五、非金属矿物制品业30,玻璃制造304,304,KEY,平板玻璃制造3041,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3041"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""平板玻璃制造3041""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
65,二十五、非金属矿物制品业30,玻璃制造304,304,SIMPLIFIED,特种玻璃制造3042,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3042"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""特种玻璃制造3042""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
65,二十五、非金属矿物制品业30,玻璃制造304,304,REGISTRATION,其他玻璃制造3049,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3049"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""其他玻璃制造3049""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
66,二十五、非金属矿物制品业30,玻璃制品制造305,305,KEY,以煤、石油焦、油和发生炉煤气为燃 料的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
66,二十五、非金属矿物制品业30,玻璃制品制造305,305,SIMPLIFIED,以天然气为燃料的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
66,二十五、非金属矿物制品业30,玻璃制品制造305,305,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
67,二十五、非金属矿物制品业30,"玻璃纤维和玻璃纤维增强塑料制品制
造306",306,KEY,以煤、石油焦、油和发生炉煤气为燃 料的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
67,二十五、非金属矿物制品业30,"玻璃纤维和玻璃纤维增强塑料制品制
造306",306,SIMPLIFIED,以天然气为燃料的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
67,二十五、非金属矿物制品业30,"玻璃纤维和玻璃纤维增强塑料制品制
造306",306,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
68,二十五、非金属矿物制品业30,陶瓷制品制造307,307,KEY,建筑陶瓷制品制造3071（以煤、石油 焦、油和发生炉煤气为燃料的），卫 生陶瓷制品制造3072（年产150 万件 及以上的），日用陶瓷制品制造3074 （年产250 万件及以上的）,APPLIES_IF_CONDITION_MET,7,"[{""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""gte"", ""value"": 1500000, ""unit"": ""piece_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""卫生陶瓷制品制造3072（年产150万件及以上"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""gte"", ""value"": 2500000, ""unit"": ""piece_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""日用陶瓷制品制造3074（年产250万件及以上"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3071"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""建筑陶瓷制品制造3071（以煤、石油焦、""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3072"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""卫生陶瓷制品制造3072（年产150万件""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""150"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""造3072（年产150万件及以上的），""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3074"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""日用陶瓷制品制造3074（年产250万件""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""250"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""造3074（年产250万件及以上的）""}]","[""请确认 annual_output 对应的实际规模/用量/产能，并提供证据。""]",condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
68,二十五、非金属矿物制品业30,陶瓷制品制造307,307,SIMPLIFIED,建筑陶瓷制品制造3071（以天然气为 燃料的）,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3071"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""建筑陶瓷制品制造3071（以天然气为燃料""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
68,二十五、非金属矿物制品业30,陶瓷制品制造307,307,REGISTRATION,建筑陶瓷制品制造3071（除重点管理、 简化管理以外的），卫生陶瓷制品制造 3072（年产150 万件以下的），日用陶 瓷制品制造 3074（年产 250 万件以下 的），特种陶瓷制品制造3073，陈设艺 术陶瓷制造3075，园艺陶瓷制造3076， 其他陶瓷制品制造3079,ELSE_CONDITION,12,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""lt"", ""value"": 1500000, ""unit"": ""piece_per_year"", ""inclusive"": false, ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""卫生陶瓷制品制造3072（年产150万件以下"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""lt"", ""value"": 2500000, ""unit"": ""piece_per_year"", ""inclusive"": false, ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""日用陶瓷制品制造3074（年产250万件以下"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3071"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""建筑陶瓷制品制造3071（除重点管理、简""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3072"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""REGISTRATION"", ""confidence"": ""HIGH"", ""raw_fragment"": ""卫生陶瓷制品制造3072（年产150万件""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""150"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""REGISTRATION"", ""confidence"": ""HIGH"", ""raw_fragment"": ""造3072（年产150万件以下的），日""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3074"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""REGISTRATION"", ""confidence"": ""HIGH"", ""raw_fragment"": ""日用陶瓷制品制造3074（年产250万件""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""250"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""REGISTRATION"", ""confidence"": ""HIGH"", ""raw_fragment"": ""造3074（年产250万件以下的），特""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3073"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""特种陶瓷制品制造3073，陈设艺术陶瓷制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3075"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""陈设艺术陶瓷制造3075，园艺陶瓷制造3""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3076"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""5，园艺陶瓷制造3076，其他陶瓷制品制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3079"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""其他陶瓷制品制造3079""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""请确认 annual_output 对应的实际规模/用量/产能，并提供证据。""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
69,二十五、非金属矿物制品业30,耐火材料制品制造308,308,KEY,石棉制品制造3081,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3081"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""石棉制品制造3081""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
69,二十五、非金属矿物制品业30,耐火材料制品制造308,308,SIMPLIFIED,以煤、石油焦、油和发生炉煤气为燃 料的云母制品制造3082、耐火陶瓷制 品及其他耐火材料制造3089,ELSE_CONDITION,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3082"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""料的云母制品制造3082、耐火陶瓷制品及""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3089"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""其他耐火材料制造3089""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
69,二十五、非金属矿物制品业30,耐火材料制品制造308,308,REGISTRATION,除简化管理以外的云母制品制造3082、 耐火陶瓷制品及其他耐火材料制造 3089,ELSE_CONDITION,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3082"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""外的云母制品制造3082、耐火陶瓷制品及""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3089"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""其他耐火材料制造3089""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
70,二十五、非金属矿物制品业30,石墨及其他非金属矿物制品制造309,309,KEY,石墨及碳素制品制造3091（石墨制 品、碳制品、碳素新材料），其他非 金属矿物制品制造3099（多晶硅棒）,ELSE_CONDITION,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3091"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""墨及碳素制品制造3091（石墨制品、碳制""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3099"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""金属矿物制品制造3099（多晶硅棒）""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
70,二十五、非金属矿物制品业30,石墨及其他非金属矿物制品制造309,309,SIMPLIFIED,石墨及碳素制品制造3091（除石墨制 品、碳制品、碳素新材料以外的）， 其他非金属矿物制品制造3099（单晶 硅棒，沥青混合物）,ELSE_CONDITION,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3091"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""墨及碳素制品制造3091（除石墨制品、碳""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3099"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""金属矿物制品制造3099（单晶硅棒，沥青""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
70,二十五、非金属矿物制品业30,石墨及其他非金属矿物制品制造309,309,REGISTRATION,其他非金属矿物制品制造3099（除重点 管理、简化管理以外的）,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""3099"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""金属矿物制品制造3099（除重点管理、简""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
71,二十六、黑色金属冶炼和压延加工业31,炼铁311,311,KEY,含炼铁、烧结、球团等工序的生产,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
71,二十六、黑色金属冶炼和压延加工业31,炼铁311,311,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,13
71,二十六、黑色金属冶炼和压延加工业31,炼铁311,311,REGISTRATION,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,13
72,二十六、黑色金属冶炼和压延加工业31,炼钢312,312,KEY,全部,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
72,二十六、黑色金属冶炼和压延加工业31,炼钢312,312,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,13
72,二十六、黑色金属冶炼和压延加工业31,炼钢312,312,REGISTRATION,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,13
73,二十六、黑色金属冶炼和压延加工业31,钢压延加工313,313,KEY,年产50 万吨及以上的冷轧,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""gte"", ""value"": 500000, ""unit"": ""ton_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""年产50万吨及以上"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""50"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""年产50万吨及以上的冷轧""}]","[""请确认 annual_output 对应的实际规模/用量/产能，并提供证据。""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,13
73,二十六、黑色金属冶炼和压延加工业31,钢压延加工313,313,SIMPLIFIED,热轧及年产50 万吨以下的冷轧,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""threshold"", ""metric"": ""annual_output"", ""operator"": ""lt"", ""value"": 500000, ""unit"": ""ton_per_year"", ""inclusive"": false, ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""热轧及年产50万吨以下"", ""metric_source_keyword"": ""年产"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""50"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""HIGH"", ""raw_fragment"": ""热轧及年产50万吨以下的冷轧""}]","[""请确认 annual_output 对应的实际规模/用量/产能，并提供证据。""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,13
73,二十六、黑色金属冶炼和压延加工业31,钢压延加工313,313,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
74,二十六、黑色金属冶炼和压延加工业31,铁合金冶炼314,314,KEY,铁合金冶炼3140,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""numeric_condition_token"", ""token"": ""3140"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""铁合金冶炼3140""}]",[],condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,13
